671.03,203.37,148.84,0,0,0,0.0066728,4.538
678.34,207.48,148.09,0,0,0,0.0063205,5.4564
667.08,290.66,173.09,0,0,0,0.62884,9.348
680.77,276.41,81.739,0,0,0,0.83206,15.281
724.5,216.15,123.63,0,0,0,0.55165,4.009
739.39,209.92,122,0,0,0,0.71568,6
657.1,300.41,167.77,0,0,0,0.57572,6.7921
731.16,241.51,87.461,0,0,0,0.75102,20.084
630.67,219.05,131.96,0,0,0,0.17193,6.7461
653.2,245.51,128.08,0,0,0,1.0198,27.306
655.11,264.21,138.23,0,0,0,0.46839,4.1582
728.8,335.76,125.77,0,0,0,0.92099,16.391
734.59,287,125.52,0,0,0,0.57069,4.0048
728.95,331.35,129.37,0,0,0,1.0088,60.893
729.62,335.83,129.2,0,0,0,0.93786,34.59
707.98,169.07,134.81,0,0,0,0.42626,22.405
736.04,331.52,128.26,0,0,0,0.98103,30.918
657.12,264.13,141.48,0,0,0,0.84281,13.192
634.92,265.97,144.92,0,0,0,0.96296,35.322
658.8,290.53,147.99,1,0,0,0.77951,9.5496
642.73,284.2,150.58,1,0,0,0.76469,7.9471
655.95,207.86,149.54,0,0,0,0.24848,5.5191
657.71,196.49,149.42,0,0,0,0.083274,3.7193
731.39,330.75,136.12,0,0,0,1.0739,24.335
664.52,203.94,148.26,1,0,0,0.25935,7.062
667.09,295.96,146.62,1,0,0,0.89548,9.7636
667.9,190.67,151.47,0,0,0,0.33251,21.129
667.18,295.41,150.18,1,0,0,0.8471,15.545
665,290.97,150.58,1,0,0,0.9272,29.894
664.16,203.91,151.88,1,0,0,0.22376,10.952
656.74,294.38,151.82,0,0,0,0.99125,38.923
659.05,290.36,151.52,1,0,0,0.78684,12.71
648.01,198.9,154.46,0,0,0,0.25545,12.053
642.71,284.38,154.15,1,0,0,0.59119,4.9714
657.63,196.48,153,0,0,0,0.10363,4.1549
636.55,296.74,154.94,1,0,0,0.83727,7.8338
647.44,204.56,154.48,0,0,0,0.28315,17.804
655.56,300.82,151.92,0,0,0,0.77517,8.1871
635.12,214.15,156.27,1,0,0,0.27099,11.865
668.77,295.84,153.49,1,0,0,0.62968,7.8412
649.08,203.51,157.8,0,0,0,0.61303,7.2529
669.47,190.51,154.79,0,0,0,0.78741,6.706
657.75,300.77,155.14,0,0,0,0.46651,2.9246
657.78,206.87,156.4,0,0,0,0.68633,7.5085
665.68,203.58,155.21,1,0,0,0.74851,10.592
664.4,302.46,154.08,0,0,0,0.47905,5.1947
638.12,296.95,158.26,1,0,0,0.59303,3.9842
636.4,207.67,159.72,1,0,0,0.70896,5.6356
638.38,281.61,158.42,0,0,0,0.61872,6.3125
